epoch,metric,metric_tc,metric_wt,metric_et,train_loss,val_loss
1,0.040284909307956696,0.02195684425532818,0.05486679822206497,0.048734068870544434,0.9851761703048983,0.9902980654470382
2,0.0626252070069313,0.05878082290291786,0.06946786493062973,0.06599992513656616,0.9830037141519208,0.9898056733992792
3,0.07362633943557739,0.07264495640993118,0.07951716333627701,0.07606508582830429,0.982157242634604,0.989420881194453
4,0.08852531015872955,0.08970263600349426,0.0944044217467308,0.09018107503652573,0.981277663380869,0.9888282283659904
5,0.08002623915672302,0.08177550137042999,0.08503331243991852,0.08110286295413971,0.9800310574712292,0.9885340448348753
6,0.06444729119539261,0.06706129759550095,0.06828571110963821,0.06420046836137772,0.9779017649350628,0.9879248449879308
7,0.05506032332777977,0.057426974177360535,0.0583343580365181,0.0547010637819767,0.9739178969494758,0.9873437785333202
8,0.0574181005358696,0.060001250356435776,0.060893602669239044,0.05684743449091911,0.9688616060922223,0.9856688918605927
9,0.060061682015657425,0.06279654800891876,0.06371773034334183,0.05940735340118408,0.9634928071210461,0.9842570693262161
10,0.0647725835442543,0.06774186342954636,0.06868021190166473,0.06408656388521194,0.9570669813021537,0.9824836542529445
11,0.06480054557323456,0.06776431202888489,0.068747378885746,0.06407564133405685,0.9502003998044999,0.9807641948423078
12,0.06415516883134842,0.0670786052942276,0.06801129877567291,0.06350786238908768,0.9428469565126204,0.9805049684739882
13,0.07941582798957825,0.08308268338441849,0.08424792438745499,0.0785064697265625,0.9353401876024662,0.9772937855412883
14,0.08907488733530045,0.09313783049583435,0.0944923460483551,0.08811591565608978,0.9263604185994594,0.9749756936104067
15,0.08872664719820023,0.09279528260231018,0.09408734738826752,0.08778667449951172,0.9177159962634887,0.9737977423975545
16,0.0962430089712143,0.10065789520740509,0.10204080492258072,0.09523922950029373,0.9091078353024298,0.9715628316325526
17,0.09855110198259354,0.10308200865983963,0.10450047999620438,0.09750444442033768,0.8996462621275456,0.9704585921379828
18,0.09385494142770767,0.09813226014375687,0.09947852790355682,0.09294269233942032,0.8909167274832726,0.9698152907433049
19,0.12309780716896057,0.12848502397537231,0.1303543597459793,0.12226609885692596,0.8819526633427989,0.9655120815000227
20,0.11987937986850739,0.12511131167411804,0.1268739551305771,0.11917486041784286,0.8729919103845474,0.9653023423687104
21,0.13820068538188934,0.1441800445318222,0.14631277322769165,0.1373736411333084,0.8616370974529174,0.9621283104342799
22,0.1415499895811081,0.1476144939661026,0.1496390700340271,0.14102418720722198,0.852130021960024,0.9613902722635577
23,0.15404973924160004,0.16070467233657837,0.16300839185714722,0.15323522686958313,0.8421484593662524,0.9593733972118746
24,0.1374594122171402,0.14339733123779297,0.14542905986309052,0.1367713361978531,0.8327280643486208,0.9591675477643167
25,0.1602334976196289,0.16696974635124207,0.16925399005413055,0.15992549061775208,0.8230638799648131,0.9554111707595087
26,0.16617323458194733,0.17320474982261658,0.17565684020519257,0.16565363109111786,0.812128464420957,0.9541931940663245
27,0.1546720564365387,0.16122573614120483,0.16358302533626556,0.15408606827259064,0.8030507251500122,0.9546460278572575
28,0.16624680161476135,0.17316046357154846,0.17575393617153168,0.16584661602973938,0.7951110449409292,0.9521572359146611
29,0.17346687614917755,0.18074177205562592,0.18343111872673035,0.17292074859142303,0.7868053925734374,0.9509517781196102
30,0.1927279829978943,0.20075087249279022,0.20376423001289368,0.1922292411327362,0.7769566207162796,0.9477755908043154
31,0.18738752603530884,0.1952705830335617,0.1981477439403534,0.1867918074131012,0.7695617259389931,0.9483021190089564
